ID empleat;Nom complet;Sexe;Data naixement;Departament;Location;Data inici;Data final
PSN-BCN-2019-0056;Júlia García Díaz;Dona;26/5/2000;Operacions-Qualitat-Logística;Granollers;22/4/2019;8/5/2025
PSN-BCN-2021-0035;Ramon Torres Jiménez;Home;9/12/1993;Operacions-Qualitat-Logística;Granollers;8/5/2021;18/11/2024
PSN-BCN-2018-0057;Joan Colomer Pérez;Home;8/3/1975;Operacions-Qualitat-Logística;Granollers;24/8/2018;24/5/2025
PSN-BCN-2019-0057;Roger Costa Sánchez;Home;6/2/1985;Operacions-Qualitat-Logística;Granollers;21/9/2019;11/7/2025
PSN-BCN-2015-0048;Miquel Ferrer Martínez;Home;22/9/2000;Operacions-Qualitat-Logística;Granollers;24/12/2015;25/5/2025
PSN-BCN-2023-0032;Manel Ribas Morales;Home;8/1/1983;Operacions-Qualitat-Logística;Granollers;10/7/2023;20/7/2025
PSN-BCN-2016-0057;Enric Costa García;Home;6/6/1980;Operacions-Qualitat-Logística;Granollers;1/8/2016;8/10/2025
PSN-BCN-2013-0039;Marc Puig Martínez;Home;30/1/1995;Operacions-Qualitat-Logística;Granollers;24/8/2013;16/6/2025
PSN-BCN-2023-0033;Jesús Costa Ribas;Home;19/2/1981;Operacions-Qualitat-Logística;Granollers;30/12/2023;4/2/2025
PSN-BCN-2021-0036;Miquel Molina Marín;Home;31/5/1983;Operacions-Qualitat-Logística;Granollers;8/4/2021;14/9/2025
PSN-BCN-2015-0049;Carles Romero Pérez;Home;26/2/1982;Operacions-Qualitat-Logística;Granollers;15/5/2015;26/1/2025
PSN-BCN-2015-0050;Nil Hernández Sánchez;Home;17/8/1992;Operacions-Qualitat-Logística;Granollers;7/2/2015;30/4/2025
PSN-BCN-2017-0056;Eduard Campos Duran;Home;17/11/1995;Operacions-Qualitat-Logística;Granollers;7/4/2017;27/9/2025
PSN-BCN-2014-0048;Mar Blanco Batlle;Dona;18/5/1990;Operacions-Qualitat-Logística;Granollers;5/2/2014;4/8/2025
PSN-BCN-2022-0039;Manel Jiménez Delgado;Home;10/12/1995;Operacions-Qualitat-Logística;Granollers;15/12/2022;5/3/2025
PSN-BCN-2013-0040;Ferran Rodríguez Sánchez;Home;25/8/2000;Operacions-Qualitat-Logística;Granollers;2/7/2013;19/3/2025
PSN-BCN-2015-0051;Jaume Domènech Marín;Home;5/11/1985;Operacions-Qualitat-Logística;Granollers;20/4/2015;25/6/2025
PSN-BCN-2016-0058;Javier Torres Ruiz;Home;8/3/1983;Operacions-Qualitat-Logística;Granollers;13/4/2016;3/5/2025
PSN-BCN-2020-0041;Clara Ruiz Molina;Dona;18/2/1997;Operacions-Qualitat-Logística;Granollers;20/5/2020;27/8/2025
PSN-BCN-2015-0052;Raimon Martínez Sánchez;Home;5/12/1980;Operacions-Qualitat-Logística;Granollers;3/1/2015;27/6/2025
PSN-BCN-2023-0034;Guillem Castro Jiménez;Home;9/6/1983;Operacions-Qualitat-Logística;Granollers;2/7/2023;2/9/2025
PSN-BCN-2021-0037;Marina Marín Grau;Dona;2/2/1981;Operacions-Qualitat-Logística;Granollers;19/11/2021;14/12/2024
PSN-BCN-2021-0038;Genís Iglesias López;Home;14/6/2000;Operacions-Qualitat-Logística;Granollers;5/2/2021;8/4/2025
PSN-BCN-2019-0058;Javier Ferrer Costa;Home;15/1/1984;Operacions-Qualitat-Logística;Granollers;13/10/2019;21/5/2025
PSN-BCN-2020-0042;Roger Sánchez Serra;Home;1/4/1986;Operacions-Qualitat-Logística;Granollers;30/12/2020;16/5/2025
PSN-BCN-2022-0040;Beatriz Morales González;Dona;22/12/1985;Operacions-Qualitat-Logística;Granollers;12/2/2022;10/11/2024
PSN-BCN-2017-0057;Roger Jiménez Muñoz;Home;19/3/1982;Operacions-Qualitat-Logística;Granollers;23/12/2017;14/7/2025
PSN-BCN-2017-0058;Pere Martínez Sánchez;Home;18/11/1988;Operacions-Qualitat-Logística;Granollers;23/1/2017;8/11/2024
PSN-BCN-2017-0059;José Pérez Gil;Home;2/2/1982;R+D;Granollers;18/2/2017;26/7/2025
PSN-BCN-2014-0049;Oriol Serra Ferrer;Home;1/11/1997;R+D;Granollers;23/4/2014;28/6/2025
PSN-BCN-2017-0060;Ismael Pérez Serra;Home;9/5/1982;R+D;Granollers;8/12/2017;18/9/2025
PSN-BCN-2015-0053;Daniel Reig Ruiz;Home;8/3/2001;R+D;Granollers;21/5/2015;13/3/2025
PSN-BCN-2019-0059;Andrea Gómez Martínez;Dona;22/5/1992;R+D;Granollers;16/5/2019;16/1/2025
PSN-BCN-2018-0058;Oriol Sánchez Riera;Home;16/2/1991;R+D;Granollers;6/1/2018;14/4/2025
PSN-BCN-2018-0059;Ferran Blanco Ruiz;Home;15/6/1995;R+D;Granollers;28/6/2018;24/3/2025
PSN-BCN-2021-0039;Albert Iglesias Roca;Home;9/10/1992;R+D;Granollers;14/2/2021;28/9/2025
PSN-BCN-2013-0041;Irene Jiménez Rodríguez;Dona;31/3/1992;R+D;Granollers;29/7/2013;30/11/2024
PSN-BCN-2016-0059;Laia Morales Cortés;Dona;30/4/1991;R+D;Granollers;25/4/2016;8/11/2024
PSN-BCN-2022-0041;Jaume Rodríguez Jiménez;Home;29/3/1988;R+D;Granollers;2/5/2022;26/9/2025
PSN-BCN-2020-0043;Mireia Castro López;Dona;20/12/1995;R+D;Granollers;29/2/2020;10/11/2024
PSN-BCN-2022-0042;Hèctor Planas Prat;Home;28/7/1996;R+D;Granollers;21/1/2022;1/2/2025
PSN-BCN-2022-0043;Pau Sánchez Esteve;Home;31/8/1994;R+D;Granollers;1/11/2022;10/3/2025
PSN-BCN-2023-0035;Andreu Serrano Pérez;Home;7/8/1989;R+D;Barcelona (22@);15/6/2023;4/11/2024
PSN-BCN-2022-0044;Mateu Jiménez Martínez;Home;16/1/1998;R+D;Granollers;13/12/2022;15/9/2025
PSN-BCN-2015-0054;Laia Rovira Castro;Dona;9/8/1980;R+D;Granollers;12/3/2015;25/12/2024
PSN-BCN-2022-0045;Tània Sánchez Rodríguez;Dona;19/6/1980;R+D;Granollers;4/4/2022;12/1/2025
PSN-BCN-2022-0046;Marina González Ramírez;Dona;14/9/1989;R+D;Granollers;8/2/2022;28/11/2024
PSN-BCN-2019-0060;Pilar Pérez Soler;Dona;7/3/1999;R+D;Granollers;2/1/2019;4/2/2025
PSN-BCN-2022-0047;Laura Domínguez Serra;Dona;13/2/1980;R+D;Granollers;22/9/2022;17/3/2025
PSN-BCN-2016-0060;Carlos Díaz Sánchez;Home;10/11/1999;R+D;Barcelona (22@);29/5/2016;9/12/2024
PSN-BCN-2013-0042;Roger Font Morales;Home;26/9/1994;R+D;Granollers;23/11/2013;28/9/2025
PSN-BCN-2015-0055;Ainhoa Pérez Font;Dona;22/2/1981;Comercial;Barcelona (22@);5/9/2015;5/9/2025
PSN-BCN-2015-0056;Àngels Romero Blanco;Dona;15/12/1993;Comercial;Barcelona (22@);4/7/2015;8/6/2025
PSN-BCN-2022-0048;Ricard Romero Rodríguez;Home;30/3/1982;Comercial;Barcelona (22@);11/4/2022;11/3/2025
PSN-BCN-2022-0049;Francesc García González;Home;25/9/1985;Comercial;Barcelona (22@);28/7/2022;2/12/2024
PSN-BCN-2023-0036;Oriol Bosch Costa;Home;21/5/1982;Comercial;Barcelona (22@);25/3/2023;30/11/2024
PSN-BCN-2019-0061;Jaume Serra Martínez;Home;25/5/1994;Comercial;Barcelona (22@);10/9/2019;25/10/2024
PSN-BCN-2014-0050;Cristina Jiménez Ribas;Dona;2/10/1995;Comercial;Barcelona (22@);30/10/2014;22/7/2025
PSN-BCN-2015-0057;Ramon Rodríguez Pérez;Home;15/7/1994;Comercial;Barcelona (22@);7/6/2015;3/4/2025
PSN-BCN-2015-0058;Laia Suárez Riera;Dona;9/9/1983;Comercial;Barcelona (22@);14/3/2015;23/5/2025
PSN-BCN-2022-0050;Maria Jiménez García;Dona;16/4/1986;Comercial;Barcelona (22@);8/6/2022;19/6/2025
PSN-BCN-2016-0061;Sergi Marín Romero;Home;30/1/1993;Comercial;Barcelona (22@);27/6/2016;14/12/2024
PSN-BCN-2015-0059;Sonia Riera Delgado;Dona;2/6/1985;Comercial;Barcelona (22@);19/8/2015;15/4/2025
PSN-BCN-2014-0051;Lucía Bosch López;Dona;7/2/1994;Sistemes;Barcelona (22@);3/9/2014;31/12/2024
PSN-BCN-2017-0061;Sergi Bosch Font;Home;22/9/1991;Sistemes;Barcelona (22@);8/5/2017;1/10/2025
PSN-BCN-2024-0005;Roger Delgado Ortiz;Home;16/2/1992;Sistemes;Barcelona (22@);16/10/2024;28/8/2025
PSN-BCN-2014-0052;Joan Pérez Ferrer;Home;20/11/1993;Sistemes;Barcelona (22@);24/4/2014;20/3/2025
PSN-BCN-2015-0060;Sergi González Prat;Home;20/2/1997;Sistemes;Barcelona (22@);21/1/2015;24/5/2025
PSN-BCN-2023-0037;Ainhoa Martínez Riera;Dona;23/10/1997;Sistemes;Barcelona (22@);17/1/2023;26/3/2025
PSN-BCN-2020-0044;Ferran González Reig;Home;30/11/1990;Sistemes;Barcelona (22@);7/3/2020;12/2/2025
PSN-BCN-2013-0043;Miquel García Jiménez;Home;16/5/1994;Finances;Barcelona (22@);10/12/2013;11/12/2024
PSN-BCN-2018-0060;Aina Díaz Martínez;Dona;16/2/1993;Finances;Barcelona (22@);17/7/2018;10/10/2025
PSN-BCN-2020-0045;Rosa López Domínguez;Dona;17/5/1986;Finances;Barcelona (22@);11/6/2020;13/7/2025
PSN-BCN-2015-0061;Miquel Rodríguez Jiménez;Home;7/7/1999;Finances;Barcelona (22@);11/9/2015;25/9/2025
PSN-BCN-2021-0040;Raimon Hernández García;Home;25/7/1997;Finances;Barcelona (22@);26/9/2021;8/5/2025
PSN-BCN-2014-0053;Laura Jiménez García;Dona;23/5/1987;Finances;Barcelona (22@);22/8/2014;6/4/2025
PSN-BCN-2018-0061;Raquel González López;Dona;16/9/1994;Finances;Barcelona (22@);28/4/2018;1/10/2025
PSN-BCN-2023-0038;Elena Cortés Romero;Dona;27/3/1994;RH;Barcelona (22@);25/8/2023;18/9/2025
PSN-BCN-2023-0039;Carlota Bosch Jiménez;Dona;7/11/1999;RH;Barcelona (22@);30/4/2023;16/8/2025
PSN-BCN-2023-0040;Laura Serra Jiménez;Dona;18/3/1995;RH;Barcelona (22@);15/7/2023;6/9/2025
PSN-BCN-2020-0046;Andreu Castro Puig;Home;10/12/1995;RH;Barcelona (22@);14/11/2020;25/12/2024
