ID empleat;Nom complet;Sexe;Data naixement;Departament;Location
PSN-BCN-2018-0001;Sílvia Puig Gómez;Dona;22/1/1988;R+D;Barcelona (22@)
PSN-BCN-2017-0002;Arnau Rovira Soler;Home;10/11/1976;R+D;Granollers
PSN-BCN-2008-0006;Anna Martín Navarro;Dona;27/2/1972;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2008-0007;José Planas González;Home;6/5/1980;Operacions-Qualitat-Logística;Granollers
PSN-BOS-2008-0005;Joshua Murphy;Home;5/2/1972;Finances;Boston (MA)
PSN-BCN-2014-0001;Raimon Martínez Ramos;Home;8/12/1982;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2016-0001;Genís Bosch Domínguez;Home;16/1/1980;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2014-0002;Inés Pérez Costa;Dona;6/4/1978;R+D;Granollers
PSN-BCN-2008-0008;Rafa Font Prat;Home;7/3/1974;R+D;Granollers
PSN-BCN-2008-0009;Mateu Hernández Camps;Home;27/3/1970;Finances;Barcelona (22@)
PSN-BCN-2019-0004;Miquel Díaz Fernández;Home;6/3/1989;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2018-0002;Joan Ribas Martínez;Home;3/4/1984;Finances;Barcelona (22@)
PSN-BCN-2008-0010;Hèctor Sánchez Suárez;Home;22/4/1970;R+D;Granollers
PSN-BCN-2016-0002;Roc González Vázquez;Home;9/2/1989;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2012-0002;Eva Riera Vila;Dona;22/4/1979;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2017-0003;Jana Soler González;Dona;24/3/1976;Comercial;Barcelona (22@)
PSN-BCN-2008-0011;Àngels Serrano Ramírez;Dona;21/3/1963;Comercial;Barcelona (22@)
PSN-BCN-2012-0003;Eva Riera Vázquez;Dona;10/4/1974;R+D;Granollers
PSN-BOS-2008-0006;Madison Davis;Dona;9/7/1975;Finances;Boston (MA)
PSN-BCN-2019-0005;Cristina Soler Ramírez;Dona;10/5/1996;Finances;Barcelona (22@)
PSN-BCN-2012-0004;Guillem Ruiz Bosch;Home;1/9/1976;Operacions-Qualitat-Logística;Granollers
PSN-BOS-2016-0001;Nora Sullivan;Dona;22/2/1985;Finances;Boston (MA)
PSN-BCN-2008-0012;Nil Ferrer Fernández;Home;30/12/1961;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2014-0003;Roger Ruiz Sánchez;Home;20/3/1979;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2017-0004;Mateu Torres Martín;Home;21/11/1976;Sistemes;Barcelona (22@)
PSN-BCN-2008-0013;Patricia Camps Navarro;Dona;8/4/1962;Comercial;Barcelona (22@)
PSN-BCN-2015-0003;Blanca Riera Vázquez;Dona;16/8/1979;RH;Barcelona (22@)
PSN-BCN-2008-0014;Mateu Gil Gómez;Home;20/11/1967;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2016-0003;Anna Sánchez Prat;Dona;14/2/1986;Comercial;Barcelona (22@)
PSN-BCN-2008-0015;Francesc Prat Ferrer;Home;27/6/1969;Sistemes;Barcelona (22@)
PSN-BOS-2008-0007;William Wilson;Home;4/4/1965;Sistemes;Boston (MA)
PSN-BOS-2019-0001;Amelia Martin;Dona;9/4/1992;R+D;Boston (MA)
PSN-BCN-2019-0006;Pere Sánchez Puig;Home;31/7/1988;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2010-0001;Daniel Costa Álvarez;Home;7/1/1983;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2020-0003;Marina Díaz Blanco;Dona;8/8/1995;R+D;Granollers
PSN-BCN-2012-0005;Guillem Puig Fernández;Home;22/11/1979;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2018-0003;Teresa Gómez López;Dona;28/9/1983;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2009-0002;Sergi Costa Vázquez;Home;2/10/1979;Sistemes;Barcelona (22@)
PSN-BCN-2017-0005;Albert Ribas Ramírez;Home;4/12/1985;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2009-0003;Lucía Moreno Bosch;Dona;27/2/1978;R+D;Granollers
PSN-BCN-2012-0006;Daniel Molina Delgado;Home;11/12/1970;RH;Barcelona (22@)
PSN-BCN-2019-0007;Núria Pérez González;Dona;28/6/1995;Comercial;Barcelona (22@)
PSN-BOS-2011-0001;Sophia Taylor;Dona;11/3/1973;Comercial;Boston (MA)
PSN-BOS-2008-0008;Elizabeth Clark;Dona;25/3/1964;Comercial;Boston (MA)
PSN-BCN-2018-0004;Hugo Ramírez Martín;Home;15/1/1986;R+D;Granollers
PSN-BCN-2019-0008;Pilar Ortega Gómez;Dona;30/3/1989;RH;Barcelona (22@)
PSN-BCN-2018-0005;Lucía Hernández Navarro;Dona;7/1/1994;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2012-0007;Ismael López Gómez;Home;21/12/1977;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2008-0016;Laia Ruiz Hernández;Dona;11/1/1974;Finances;Barcelona (22@)
PSN-BCN-2010-0002;Pilar Fernández Jiménez;Dona;30/1/1962;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2008-0017;Javier Batlle Vallès;Home;21/11/1967;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2012-0008;Pau Martínez Rodríguez;Home;31/12/1968;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2008-0018;Daniel Vázquez Ortega;Home;26/11/1974;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2013-0002;Jesús Jiménez Sánchez;Home;6/4/1984;Comercial;Barcelona (22@)
PSN-BCN-2022-0002;Berta Torres Álvarez;Dona;6/2/1997;R+D;Granollers
PSN-BCN-2011-0002;Teresa Puig Sánchez;Dona;5/9/1978;R+D;Granollers
PSN-BCN-2019-0009;Andreu Fernández Ortega;Home;10/8/1995;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2008-0019;Mireia Duran Esteve;Dona;15/6/1967;Sistemes;Barcelona (22@)
PSN-BCN-2021-0001;Carlos Pérez García;Home;22/1/1993;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2017-0006;Laia Ferrer Navarro;Dona;15/3/1984;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2017-0007;Inés Marín Fernández;Dona;27/4/1989;RH;Barcelona (22@)
PSN-BCN-2021-0002;Nora Soler Grau;Dona;10/1/1999;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2010-0003;Hèctor Martínez Martín;Home;9/5/1970;R+D;Granollers
PSN-BCN-2017-0008;Lídia Pérez Martínez;Dona;11/8/1988;Finances;Barcelona (22@)
PSN-BCN-2021-0003;Ismael Hernández Ferrer;Home;28/11/1997;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2019-0010;Sergi Riera Bosch;Home;21/10/1988;Comercial;Barcelona (22@)
PSN-BOS-2018-0001;Alexander Sullivan;Home;8/8/1988;R+D;Boston (MA)
PSN-BCN-2011-0003;Eva Romero Gómez;Dona;5/5/1979;R+D;Granollers
PSN-BCN-2015-0004;Pol Sánchez Vallès;Home;26/9/1979;RH;Barcelona (22@)
PSN-BCN-2018-0006;Ramon Iglesias Hernández;Home;31/10/1990;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2008-0020;Oriol Ortiz García;Home;23/12/1961;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2016-0004;Beatriz García Martínez;Dona;9/6/1987;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2008-0021;Pol Fernández Muñoz;Home;7/8/1978;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2008-0022;Beatriz Domènech Costa;Dona;2/8/1964;Comercial;Barcelona (22@)
PSN-BCN-2016-0005;Gerard Marín Rovira;Home;23/4/1985;Comercial;Barcelona (22@)
PSN-BCN-2010-0004;Arnau Moreno Martínez;Home;3/12/1972;Finances;Barcelona (22@)
PSN-BCN-2018-0007;Roger Batlle Rubio;Home;15/7/1986;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2011-0004;Sílvia Ruiz Hernández;Dona;19/8/1974;Comercial;Barcelona (22@)
PSN-BCN-2017-0009;Rubén Ortiz López;Home;3/6/1980;R+D;Granollers
PSN-BCN-2011-0005;Guillem Gómez Molina;Home;1/4/1979;RH;Barcelona (22@)
PSN-BCN-2008-0023;Rafa Hernández Ribas;Home;7/10/1969;Operacions-Qualitat-Logística;Granollers
PSN-BOS-2021-0001;Victoria Sullivan;Dona;7/10/1993;RH;Boston (MA)
PSN-BCN-2012-0009;David Pérez Álvarez;Home;23/9/1977;Sistemes;Barcelona (22@)
PSN-BCN-2019-0011;Gemma Fernández Puig;Dona;26/5/1996;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2008-0024;Arnau González Domínguez;Home;21/9/1977;R+D;Granollers
PSN-BOS-2022-0001;Patrick Sullivan;Home;18/1/1998;R+D;Boston (MA)
PSN-BCN-2008-0025;Raquel Pérez Sánchez;Dona;29/7/1972;Operacions-Qualitat-Logística;Granollers
PSN-BOS-2010-0001;Thomas Davis;Home;4/10/1981;R+D;Boston (MA)
PSN-BCN-2015-0005;Nil Martínez Ruiz;Home;5/12/1988;Finances;Barcelona (22@)
PSN-BCN-2008-0026;Berta García Castro;Dona;5/10/1969;Comercial;Barcelona (22@)
PSN-BCN-2018-0008;Ainhoa Muñoz Fernández;Dona;28/8/1985;R+D;Granollers
PSN-BOS-2008-0009;Hannah Sullivan;Dona;24/10/1965;R+D;Boston (MA)
PSN-BOS-2008-0010;David Johnson;Home;21/3/1979;R+D;Boston (MA)
PSN-BCN-2016-0006;Rosa Pérez González;Dona;9/2/1982;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2014-0004;Javier López González;Home;4/6/1983;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2008-0027;Mar Soler Hernández;Dona;1/2/1974;RH;Barcelona (22@)
PSN-BCN-2011-0006;Miquel Martín Delgado;Home;20/7/1976;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2014-0005;Anna Sánchez Domínguez;Dona;25/1/1980;RH;Barcelona (22@)
PSN-BCN-2008-0028;Roger Ferrer Colomer;Home;6/4/1963;R+D;Granollers
PSN-BCN-2008-0029;Nil Sánchez Rubio;Home;26/9/1973;R+D;Granollers
PSN-BCN-2019-0012;Carlos Moreno García;Home;30/9/1995;Finances;Barcelona (22@)
PSN-BCN-2008-0030;Hugo Martínez Pérez;Home;23/1/1972;Comercial;Barcelona (22@)
PSN-BCN-2021-0004;Inés López Domènech;Dona;18/9/1998;Finances;Barcelona (22@)
PSN-BOS-2016-0002;Charlotte Williams;Dona;18/1/1992;RH;Boston (MA)
PSN-BCN-2008-0031;Carlos Ruiz Iglesias;Home;24/10/1965;R+D;Granollers
PSN-BCN-2018-0009;Enric Ferrer Costa;Home;26/5/1992;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2016-0007;Cristina Álvarez Prat;Dona;29/9/1989;Comercial;Barcelona (22@)
PSN-BCN-2012-0010;Francesc Muñoz Martín;Home;21/2/1985;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2021-0005;Irene Romero Ramírez;Dona;9/3/1998;R+D;Granollers
PSN-BOS-2023-0001;William Garcia;Home;26/11/2000;Sistemes;Boston (MA)
PSN-BCN-2008-0032;Raquel González Molina;Dona;29/7/1961;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2008-0033;Mar Planas Vázquez;Dona;19/2/1961;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2017-0010;Eduard Soler Del Río;Home;7/1/1992;Comercial;Barcelona (22@)
PSN-BCN-2012-0011;Patricia Jiménez Serra;Dona;8/1/1984;Comercial;Barcelona (22@)
PSN-BCN-2017-0011;Roc Martín Ruiz;Home;9/5/1992;Finances;Barcelona (22@)
PSN-BCN-2012-0012;Montserrat Navarro Prat;Dona;3/1/1971;Comercial;Barcelona (22@)
PSN-BCN-2021-0006;Ismael Torres Pérez;Home;4/12/1992;Comercial;Barcelona (22@)
PSN-BCN-2020-0004;Hugo Molina Serrano;Home;23/1/1989;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2009-0004;Rosa Blanco Ferrer;Dona;19/11/1965;R+D;Granollers
PSN-BCN-2009-0005;Pau Álvarez Moreno;Home;6/4/1972;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2008-0034;Álvaro Morales García;Home;23/2/1967;Comercial;Barcelona (22@)
PSN-BCN-2008-0035;Nil López Rodríguez;Home;25/3/1968;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2019-0013;Enric Costa Rodríguez;Home;6/6/1990;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2008-0036;Ariadna Ramírez Sánchez;Dona;8/3/1969;Comercial;Barcelona (22@)
PSN-BCN-2008-0037;Sonia Molina Ferrer;Dona;4/7/1972;Comercial;Barcelona (22@)
PSN-BCN-2020-0005;Rafa Ramírez Ferrer;Home;22/1/1996;Operacions-Qualitat-Logística;Granollers
PSN-BOS-2015-0001;Sophie Williams;Dona;7/7/1984;Comercial;Boston (MA)
PSN-BOS-2017-0001;Audrey Rivera;Dona;1/5/1982;R+D;Boston (MA)
PSN-BCN-2021-0007;Nil López Romero;Home;16/4/1997;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2012-0013;Jordi Morales Díaz;Home;17/6/1975;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2008-0038;Raimon Gil López;Home;2/12/1970;Sistemes;Barcelona (22@)
PSN-BOS-2008-0011;Sophie Lee;Dona;23/2/1963;RH;Boston (MA)
PSN-BCN-2009-0006;Guillem Molina Arnau;Home;2/9/1977;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2013-0003;Marc Delgado Vila;Home;6/1/1965;Comercial;Barcelona (22@)
PSN-BCN-2020-0006;Enric Vila Ortega;Home;5/9/1992;R+D;Granollers
PSN-BCN-2008-0039;Nora Martín Gil;Dona;19/9/1975;Comercial;Barcelona (22@)
PSN-BCN-2008-0040;Guillem López Arnau;Home;8/5/1971;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2019-0014;Gerard García Sánchez;Home;27/7/1998;R+D;Granollers
PSN-BOS-2012-0001;Abigail White;Dona;16/8/1980;R+D;Boston (MA)
PSN-BCN-2008-0041;Ferran López Pérez;Home;3/4/1970;R+D;Granollers
PSN-BCN-2018-0010;Carles Moreno Ferrer;Home;22/5/1991;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2021-0008;Raimon Ramos Riera;Home;20/6/1994;R+D;Granollers
PSN-BCN-2021-0009;Patricia Domènech Sánchez;Dona;6/5/1996;Comercial;Barcelona (22@)
PSN-BCN-2008-0042;Víctor Bosch Soler;Home;24/8/1968;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2021-0010;Francesc García Jiménez;Home;10/10/1997;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2023-0001;Sílvia García Bosch;Dona;10/4/2003;Sistemes;Barcelona (22@)
PSN-BCN-2019-0015;Gemma Ribas Vila;Dona;2/4/1991;R+D;Granollers
PSN-BCN-2018-0011;Antonio Romero Rodríguez;Home;20/12/1994;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2017-0012;Toni García Ferrer;Home;8/8/1987;Comercial;Barcelona (22@)
PSN-BCN-2018-0012;Raimon García Rodríguez;Home;28/11/1990;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2008-0043;Cristina Jiménez López;Dona;18/7/1975;Sistemes;Barcelona (22@)
PSN-BCN-2015-0006;Anna Álvarez Ortega;Dona;26/5/1982;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2024-0001;Jesús López Serrano;Home;1/1/2003;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2016-0008;Pol López Duran;Home;6/7/1980;Operacions-Qualitat-Logística;Granollers
PSN-BOS-2008-0012;Madison Lee;Dona;17/12/1963;R+D;Boston (MA)
PSN-BCN-2021-0011;Roger López Fernández;Home;17/8/1993;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2017-0013;Tània López Serra;Dona;27/7/1994;Comercial;Barcelona (22@)
PSN-BCN-2008-0044;Lídia Fernández Bosch;Dona;22/8/1971;RH;Barcelona (22@)
PSN-BCN-2008-0045;Ferran Riera Bosch;Home;26/6/1978;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2018-0013;Roc Riera Torres;Home;3/5/1992;RH;Barcelona (22@)
PSN-BCN-2013-0004;Daniel González Vázquez;Home;3/2/1978;Operacions-Qualitat-Logística;Granollers
PSN-BOS-2017-0002;Jonathan Martin;Home;17/1/1992;Comercial;Boston (MA)
PSN-BCN-2008-0046;Andrea Díaz Rodríguez;Dona;3/1/1963;R+D;Granollers
PSN-BCN-2017-0014;Pilar Navarro Ortega;Dona;27/11/1986;RH;Barcelona (22@)
PSN-BCN-2008-0047;Rafa Ruiz Hernández;Home;21/1/1974;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2009-0007;Patricia López Arnau;Dona;29/3/1966;R+D;Granollers
PSN-BOS-2008-0013;Jacob Sullivan;Home;17/12/1968;Comercial;Boston (MA)
PSN-BOS-2012-0002;Natalie Kelly;Dona;24/5/1977;R+D;Boston (MA)
PSN-BCN-2019-0016;Xavier Gómez Bosch;Home;5/1/1988;Comercial;Barcelona (22@)
PSN-BCN-2016-0009;Jesús Costa Serrano;Home;1/8/1990;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2008-0048;Roger Puig Prat;Home;23/5/1970;R+D;Barcelona (22@)
PSN-BCN-2018-0014;José Ramos García;Home;17/3/1994;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2010-0005;Rafa Gil Fernández;Home;8/7/1971;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2021-0012;Genís Martín Rodríguez;Home;16/5/1999;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2008-0049;Arnau Martínez García;Home;2/8/1976;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2012-0014;Ricard Molina Torres;Home;10/12/1981;Comercial;Barcelona (22@)
PSN-BCN-2018-0015;Marina Iglesias García;Dona;27/7/1994;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2008-0050;Àlex Martínez Martín;Home;26/7/1964;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2016-0010;Ferran Suárez Ruiz;Home;15/9/1983;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2022-0003;Àlex Gómez Ferrer;Home;7/3/1997;Operacions-Qualitat-Logística;Granollers
PSN-BOS-2009-0001;Scarlett Kelly;Dona;4/3/1976;Finances;Boston (MA)
PSN-BCN-2015-0007;Javier Camps Rodríguez;Home;29/7/1979;R+D;Granollers
PSN-BCN-2019-0017;Jordi Castells Navarro;Home;18/8/1995;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2008-0051;Jordi Costa Marín;Home;5/1/1972;Operacions-Qualitat-Logística;Granollers
PSN-BOS-2021-0002;Dylan White;Home;10/2/1995;RH;Boston (MA)
PSN-BCN-2011-0007;Àngels Soler Ruiz;Dona;27/3/1971;Finances;Barcelona (22@)
PSN-BCN-2015-0008;Rafa Torres Martínez;Home;22/5/1987;R+D;Granollers
PSN-BOS-2019-0002;Tyler Anderson;Home;21/11/1994;Comercial;Boston (MA)
PSN-BCN-2017-0015;Montserrat Serra Vázquez;Dona;23/5/1993;Sistemes;Barcelona (22@)
PSN-BCN-2012-0015;Adrià López Pérez;Home;26/5/1981;R+D;Granollers
PSN-BOS-2008-0014;Ryan Davis;Home;7/3/1971;R+D;Boston (MA)
PSN-BCN-2020-0007;Manel Sánchez Puig;Home;9/9/1994;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2008-0052;Teresa Pérez Ortiz;Dona;28/7/1971;Comercial;Barcelona (22@)
PSN-BCN-2023-0002;Carme González Ferrer;Dona;5/7/1997;Comercial;Barcelona (22@)
PSN-BCN-2023-0003;Raquel Rodríguez Suárez;Dona;27/6/2002;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2014-0006;Aina Moreno Serrano;Dona;10/2/1989;Comercial;Barcelona (22@)
PSN-BCN-2020-0008;Rafa Ferrer Ribas;Home;5/5/1995;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2008-0053;David González Morales;Home;17/7/1978;Finances;Barcelona (22@)
PSN-BOS-2019-0003;Ethan Thompson;Home;18/3/1991;Sistemes;Boston (MA)
PSN-BCN-2008-0054;Inés Moreno Delgado;Dona;20/1/1967;RH;Barcelona (22@)
PSN-BCN-2011-0008;Antonio Puig Fernández;Home;21/10/1971;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2020-0009;Gerard Rodríguez Colomer;Home;16/4/1995;Finances;Barcelona (22@)
PSN-BCN-2008-0055;Sílvia Ferrer López;Dona;29/5/1968;RH;Barcelona (22@)
PSN-BCN-2008-0056;Roger Sánchez Batlle;Home;24/4/1964;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2023-0004;Pau González Gil;Home;2/11/1999;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2012-0016;Ismael Navarro Ribas;Home;14/11/1964;Comercial;Barcelona (22@)
PSN-BCN-2016-0011;Teresa Navarro Ramírez;Dona;8/12/1988;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2008-0057;Guillem Costa Suárez;Home;1/1/1970;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2016-0012;Rafa Esteve Sánchez;Home;17/6/1992;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2008-0058;Ricard Vila Fernández;Home;22/9/1968;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2022-0004;Ferran Raventós Díaz;Home;7/5/2001;Finances;Barcelona (22@)
PSN-BCN-2016-0013;Carlos García Navarro;Home;10/5/1988;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2010-0006;Marc Soler Ribas;Home;31/12/1975;Sistemes;Barcelona (22@)
PSN-BCN-2016-0014;Guillem Álvarez Pérez;Home;24/5/1983;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2015-0009;Teresa Sánchez Suárez;Dona;17/8/1981;R+D;Granollers
PSN-BOS-2017-0003;David Lee;Home;1/3/1990;R+D;Boston (MA)
PSN-BCN-2017-0016;Oriol Puig Riera;Home;31/8/1983;Sistemes;Barcelona (22@)
PSN-BCN-2016-0015;Ferran Martínez Gómez;Home;10/9/1976;R+D;Granollers
PSN-BCN-2019-0018;Ismael Pérez Castells;Home;28/12/1987;Finances;Barcelona (22@)
PSN-BCN-2013-0005;David Martínez Fernández;Home;1/2/1983;R+D;Granollers
PSN-BCN-2018-0016;Roc Gil Prat;Home;8/3/1995;R+D;Granollers
PSN-BCN-2008-0059;Eduard Navarro Pérez;Home;9/5/1969;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2008-0060;Quim Ramos Blanco;Home;15/5/1970;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2017-0017;Rosa García Martínez;Dona;30/5/1980;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2008-0061;Anna Ramírez Ribas;Dona;28/10/1972;Operacions-Qualitat-Logística;Granollers
PSN-BOS-2019-0004;Alexander White;Home;1/7/1993;Finances;Boston (MA)
PSN-BCN-2008-0062;Quim Puig Romero;Home;28/2/1969;R+D;Granollers
PSN-BCN-2010-0007;Helena Suárez Pérez;Dona;15/9/1974;RH;Barcelona (22@)
PSN-BCN-2014-0007;Jesús Soler Serra;Home;30/9/1982;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2013-0006;David Castro Ortega;Home;27/10/1979;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2016-0016;Ricard Batlle Rodríguez;Home;10/2/1989;R+D;Granollers
PSN-BCN-2011-0009;Aina Puig Grau;Dona;16/4/1979;R+D;Granollers
PSN-BCN-2008-0063;Álvaro Serrano Gómez;Home;29/9/1962;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2012-0017;Pere Gómez Hernández;Home;13/2/1980;R+D;Granollers
PSN-BCN-2008-0064;Cristina Castro Ortega;Dona;5/5/1973;R+D;Granollers
PSN-BCN-2008-0065;Elisenda Roca Fernández;Dona;22/10/1960;Sistemes;Barcelona (22@)
PSN-BCN-2022-0005;Toni Duran Marín;Home;7/9/2000;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2014-0008;Pol Romero García;Home;18/11/1983;R+D;Granollers
PSN-BCN-2008-0066;Marc Vázquez Serrano;Home;15/12/1970;Comercial;Barcelona (22@)
PSN-BCN-2008-0067;Adrià Ramos Torres;Home;17/1/1964;R+D;Barcelona (22@)
PSN-BCN-2018-0017;Genís Arnau Rubio;Home;2/8/1996;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2019-0019;Javier Ribas Prat;Home;9/7/1985;RH;Barcelona (22@)
PSN-BCN-2008-0068;Rosa Moreno Ramos;Dona;20/11/1976;Sistemes;Barcelona (22@)
PSN-BCN-2008-0069;Pau Fernández Serrano;Home;20/2/1965;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2016-0017;Irene Ruiz Costa;Dona;6/6/1988;RH;Barcelona (22@)
PSN-BOS-2008-0015;Grace Walsh;Dona;11/5/1970;Sistemes;Boston (MA)
PSN-BCN-2013-0007;Pol García Vázquez;Home;1/12/1982;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2010-0008;Montserrat Ribas García;Dona;24/6/1981;Comercial;Barcelona (22@)
PSN-BCN-2018-0018;Aina Fernández Álvarez;Dona;3/9/1994;R+D;Granollers
